# monitors=1
# peers=9
# rounds=100
# cadence=0.01
1	623	1062	.58662900188323917137
2	363	640	.56718750000000000000
3	508	848	.59905660377358490566
4	284	494	.57489878542510121457
5	217	360	.60277777777777777777
6	170	285	.59649122807017543859
7	364	567	.64197530864197530864
8	140	216	.64814814814814814814
9	605	978	.61860940695296523517
10	494	888	.55630630630630630630
11	341	482	.70746887966804979253
12	699	1249	.55964771817453963170
13	667	1233	.54095701540957015409
14	582	1218	.47783251231527093596
15	242	990	.24444444444444444444
16	163	475	.34315789473684210526
17	76	1726	.04403244495944380069
18	73	2506	.02913008778930566640
19	13	583	.02229845626072041166
20	89	1280	.06953125000000000000
21	17	2224	.00764388489208633093
22	4	2360	.00169491525423728813
23	6	1653	.00362976406533575317
24	25	3418	.00731421884142773551
25	34	3053	.01113658696364231903
26	3	1826	.00164293537787513691
27	10	1971	.00507356671740233384
28	3	1406	.00213371266002844950
29	7	2354	.00297366185216652506
30	3	1923	.00156006240249609984
31	5	2055	.00243309002433090024
32	0	1619	0
